iter	Passed	Remaining
158	1561	8257
159	1563	8207
160	1569	8176
161	1573	8136
162	1576	8096
163	1584	8076
164	1587	8034
165	1590	7990
166	1592	7944
167	1598	7918
168	1602	7879
169	1605	7838
170	1607	7795
171	1614	7772
172	1621	7749
173	1626	7723
174	1630	7686
175	1634	7650
176	1637	7613
177	1644	7592
178	1647	7556
179	1650	7518
180	1652	7478
181	1658	7455
182	1663	7427
183	1667	7394
184	1675	7382
185	1679	7349
186	1689	7346
187	1695	7321
188	1698	7289
189	1705	7272
190	1714	7262
191	1721	7245
192	1726	7218
193	1729	7186
194	1735	7166
195	1739	7133
196	1742	7103
197	1745	7068
198	1754	7061
199	1757	7030
200	1760	6997
201	1769	6989
202	1772	6959
203	1775	6926
204	1787	6933
205	1865	7191
206	1880	7205
207	1896	7219
208	1960	7420
209	1969	7410
210	2104	7869
211	2113	7856
212	2128	7864
213	2132	7831
214	2145	7833
215	2150	7805
216	2163	7806
217	2250	8073
218	2264	8077
219	2274	8063
220	2278	8030
221	2281	7996
222	2284	7961
223	2303	7979
224	2320	7992
225	2327	7972
226	2333	7945
227	2337	7914
228	2346	7901
229	2351	7871
230	2360	7857
231	2365	7829
232	2368	7795
233	2377	7781
234	2380	7750
235	2383	7714
236	2395	7713
237	2403	7694
238	2411	7677
239	2414	7646
240	2420	7622
241	2423	7592
242	2427	7561
243	2429	7528
244	2436	7509
245	2440	7480
246	2443	7448
247	2453	7439
248	2457	7412
249	2459	7379
250	2467	7362
251	2470	7334
252	2473	7303
253	2479	7281
254	2483	7255
255	2486	7227
256	2489	7196
257	2494	7174
258	2499	7151
259	2502	7122
260	2505	7092
261	2512	7077
262	2529	7088
263	2532	7059
264	2534	7029
265	2538	7005
266	2542	6979
267	2545	6952
268	2548	6926
269	2550	6896
270	2558	6881
271	2562	6858
272	2565	6832
273	2571	6814
274	2575	6790
275	2579	6765
276	2581	6738
277	2589	6724
278	2592	6699
279	2595	6674
280	2603	6662
281	2618	6667
282	2622	6644
283	2626	6620
284	2628	6594
285	2638	6585
286	2642	6564
287	2647	6545
288	2652	6526
289	2656	6504
290	2659	6479
291	2668	6470
292	2672	6449
293	2675	6424
294	2684	6414
295	2687	6392
296	2690	6368
297	2697	6354
298	2701	6333
299	2706	6315
300	2711	6295
301	2715	6276
302	2718	6253
303	2727	6243
304	2733	6227
305	2743	6221
306	2746	6199
307	2750	6178
308	2757	6167
309	2763	6150
310	2770	6137
311	2775	6120
312	2777	6097
313	2789	6094
314	2792	6072
315	2798	6057
316	2802	6037
317	2806	6018
318	2809	5997
319	2815	5983
320	2819	5964
321	2823	5944
322	2829	5929
323	2833	5912
324	2837	5892
325	2839	5870
326	2847	5861
327	2852	5843
328	2854	5822
329	2863	5812
330	2866	5794
331	2869	5773
332	2874	5756
333	2878	5739
334	2882	5722
335	2885	5701
336	2892	5689
337	2900	5680
338	2907	5668
339	2912	5652
340	2916	5635
341	2921	5621
342	2925	5604
343	2929	5586
344	2932	5567
345	2939	5555
346	2943	5538
347	2945	5518
348	2947	5498
349	2955	5489
350	2959	5471
351	2961	5452
352	2966	5437
353	2971	5423
354	2975	5406
355	2978	5387
356	2986	5378
357	2990	5362
358	2992	5343
359	2998	5331
360	3002	5314
361	3006	5297
362	3011	5285
363	3022	5280
364	3027	5266
365	3032	5252
366	3035	5236
367	3038	5217
368	3044	5206
369	3048	5191
370	3051	5174
371	3054	5156
372	3060	5144
373	3063	5128
374	3066	5111
375	3069	5093
376	3077	5085
377	3082	5071
378	3084	5054
379	3093	5046
380	3098	5033
381	3104	5023
382	3110	5010
383	3113	4994
384	3116	4977
385	3125	4970
386	3130	4959
387	3139	4951
388	3142	4936
389	3145	4919
390	3152	4910
391	3158	4898
392	3162	4884
393	3166	4870
394	3171	4857
395	3174	4841
396	3181	4833
397	3185	4818
398	3189	4804
399	3193	4789
400	3195	4773
401	3198	4757
402	3202	4743
403	3206	4730
404	3209	4714
405	3216	4706
406	3220	4691
